,Open,High,Low,Close,Adj Close,Volume
2018-01-02,267.8399963378906,268.80999755859375,267.3999938964844,268.7699890136719,244.0578155517578,86655700.0
2018-01-03,268.9599914550781,270.6400146484375,268.9599914550781,270.4700012207031,245.60150146484375,90070400.0
2018-01-04,271.20001220703125,272.1600036621094,270.5400085449219,271.6099853515625,246.6366424560547,80636400.0
2018-01-05,272.510009765625,273.55999755859375,271.95001220703125,273.4200134277344,248.28025817871094,83524000.0
2018-01-06,272.510009765625,273.55999755859375,271.95001220703125,273.4200134277344,248.28025817871094,0.0
2018-01-07,272.510009765625,273.55999755859375,271.95001220703125,273.4200134277344,248.28025817871094,0.0
2018-01-08,273.30999755859375,274.1000061035156,272.9800109863281,273.9200134277344,248.7342529296875,57319200.0
2018-01-09,274.3999938964844,275.25,274.0799865722656,274.5400085449219,249.2972412109375,57254000.0
2018-01-10,273.67999267578125,274.4200134277344,272.9200134277344,274.1199951171875,248.91590881347656,69574300.0
2018-01-11,274.75,276.1199951171875,274.55999755859375,276.1199951171875,250.73202514648438,62361500.0
2018-01-12,276.4200134277344,278.1099853515625,276.0799865722656,277.9200134277344,252.36642456054688,90816100.0
2018-01-13,276.4200134277344,278.1099853515625,276.0799865722656,277.9200134277344,252.36642456054688,0.0
2018-01-14,276.4200134277344,278.1099853515625,276.0799865722656,277.9200134277344,252.36642456054688,0.0
2018-01-15,276.4200134277344,278.1099853515625,276.0799865722656,277.9200134277344,252.36642456054688,0.0
2018-01-16,279.3500061035156,280.0899963378906,276.17999267578125,276.9700012207031,251.50393676757812,106555100.0
2018-01-17,278.0299987792969,280.04998779296875,276.9700012207031,279.6099853515625,253.9010467529297,113258800.0
2018-01-18,279.4800109863281,279.9599914550781,278.5799865722656,279.1400146484375,253.47430419921875,100728000.0
2018-01-19,279.79998779296875,280.4100036621094,279.1400146484375,280.4100036621094,254.62747192382812,140920100.0
2018-01-20,279.79998779296875,280.4100036621094,279.1400146484375,280.4100036621094,254.62747192382812,0.0
2018-01-21,279.79998779296875,280.4100036621094,279.1400146484375,280.4100036621094,254.62747192382812,0.0
2018-01-22,280.1700134277344,282.69000244140625,280.1099853515625,282.69000244140625,256.6978454589844,91322400.0
2018-01-23,282.739990234375,283.6199951171875,282.3699951171875,283.2900085449219,257.24273681640625,97084700.0
2018-01-24,284.0199890136719,284.70001220703125,281.8399963378906,283.17999267578125,257.14288330078125,134816100.0
2018-01-25,284.1600036621094,284.2699890136719,282.3999938964844,283.29998779296875,257.2518310546875,84587300.0
2018-01-26,284.25,286.6300048828125,283.9599914550781,286.5799865722656,260.2301940917969,107743100.0
2018-01-27,284.25,286.6300048828125,283.9599914550781,286.5799865722656,260.2301940917969,0.0
2018-01-28,284.25,286.6300048828125,283.9599914550781,286.5799865722656,260.2301940917969,0.0
2018-01-29,285.92999267578125,286.42999267578125,284.5,284.67999267578125,258.5049133300781,90118300.0
